	49
1	11
10	7
100	2
101	1
102	1
103	1
104	1
105	1
106	1
107	1
108	1
109	1
11	6
110	1
111	1
112	2
113	1
114	1
115	1
116	1
117	1
118	1
119	1
12	3
121	1
122	1
123	1
124	1
125	1
126	1
127	1
128	1
129	1
13	3
130	2
131	1
132	1
133	2
134	2
135	2
136	1
137	2
138	1
139	2
14	3
142	1
143	1
144	1
145	1
146	1
147	1
148	1
149	1
15	3
150	1
151	1
152	1
153	1
154	1
155	1
156	1
157	1
158	1
159	1
16	3
160	1
161	1
162	1
163	1
164	1
1641	3
165	1
166	1
167	1
168	1
169	1
17	3
170	1
171	1
172	1
173	1
174	1
175	1
176	1
177	1
178	1
179	1
18	3
180	1
181	1
182	1
183	2
184	2
185	1
186	1
187	1
188	1
189	1
19	3
190	1
191	1
192	1
193	1
194	1
196	1
197	2
198	1
199	1
2	12
20	2
200	1
201	2
202	2
203	2
204	1
205	1
206	1
207	1
208	1
209	1
21	2
210	1
211	1
212	1
213	1
214	2
215	1
217	2
218	1
219	1
22	2
220	1
221	1
222	1
223	1
224	1
225	1
226	1
227	1
228	2
229	1
23	2
231	1
232	2
236	1
238	1
24	2
240	1
241	1
242	1
243	1
244	1
246	1
247	1
248	1
249	1
25	2
250	1
251	2
252	2
253	2
254	1
255	1
256	1
257	1
258	1
259	1
26	2
260	1
261	1
262	1
264	1
265	1
266	1
267	1
268	1
269	1
27	2
270	1
271	1
272	1
273	1
274	1
275	1
276	1
277	1
278	1
279	1
28	2
280	1
281	1
282	1
283	1
285	1
286	1
287	1
29	2
3	8
30	2
31	2
32	2
33	2
34	2
35	2
36	2
37	2
38	2
39	2
4	8
40	4
41	2
42	2
43	2
44	2
45	2
46	2
47	2
48	2
49	2
5	8
50	2
51	2
52	2
53	2
54	2
55	2
56	1
6	8
7	8
8	7
89	1
9	6
90	1
91	1
92	1
93	1
94	1
95	1
96	1
963	1
97	1
98	1
99	1
a	486
abide	2
abo	1
aboad	1
abortive	1
abortivum	2
abortus	1
about	27
above	8
abroach	1
abroad	4
absence	1
abstract	1
abuse	2
abysse	2
accent	1
ace	1
ach	1
acharon	4
acheron	1
acquaintance	1
act	9
actaeon	5
acted	1
acting	1
actors	3
acts	1
acturus	1
actus	2
actye	1
ad	2
adders	1
adding	1
ademptum	2
admi	1
admit	1
admitted	1
adore	1
adores	1
adultera	1
aegaean	1
aenigma	1
aeolus	3
aequality	1
aericthon	1
aethon	1
aetna	2
affinity	2
afford	2
affraid	1
affrica	2
affrick	3
affrighted	1
after	17
again	3
againe	16
against	6
age	9
aged	6
agen	1
agents	1
ages	2
agin	7
agoe	1
agree	1
ague	2
ague-quill	1
aiassye	1
aide	1
aime	3
aimes	1
aimeth	1
aine	1
aire	5
airy	1
aith	1
ake	2
aking	1
al	2
albion	4
albions	1
aleaprous	1
alexander	1
alive	1
all	120
all-saints-day	1
allegeance	1
alma	1
almost	1
alone	14
along	3
aloud	1
alpes	1
already	1
altar	1
altars	1
although	1
alwaies	8
alwayes	2
always	1
amaskt	1
amaz	4
amazed	1
amazement	3
amazon	1
ambassadour	3
ambassage	2
amber	1
ambition	11
ambitions	1
ambitious	1
ambrosia	1
ame	1
america	1
amhassador	1
amids	1
among	4
amongst	1
amphetrite	1
amphibolies	1
an	68
ancient	1
and	537
ange	1
