	8
1	56
1663	1
2	55
3	3
a	371
a-lack	1
abandone	1
abhor	1
aboard	1
abominably	1
abound	1
about	11
abouts	1
above	4
abroad	2
absence	1
abundance	1
abuse	3
abused	1
accept	1
acceptance	1
accomplisht	9
accordingly	1
account	1
acquainted	2
acquit	3
acted	1
action	1
actions	1
active	1
actors	1
actus	10
add	1
addition	1
admiration	1
admitted	1
adore	1
adorne	1
adue	1
advancement	2
advise	1
affaires	2
affect	1
affection	1
afford	1
affourd	1
afraid	1
after	5
afternoon	1
again	6
against	1
age	1
agen	5
agree	2
ah	8
aire	1
alas	2
alderman	1
ale	12
alehouse	1
alike	1
all	62
allow	1
allyes	1
almanacks	1
alone	10
along	1
already	1
although	1
alwaies	2
am	44
amaze	1
amended	1
amends	2
amorous	1
ample	1
an	22
and	339
another	14
answer	1
answerable	1
any	22
appear	4
applause	1
apple	2
apply	1
applying	1
apprehend	1
approve	1
april	1
are	75
argues	2
armes	1
arriv	1
arss-worme	1
art	26
artillery	1
as	92
aside	5
asserted	1
assume	1
assur	1
assure	6
assured	1
assuredly	16
at	31
attend	1
attended	1
auditory	2
authors	1
averse	1
avoid	1
away	16
babe	1
bad	4
baffling	1
baggage	1
banquet	3
banquettings	1
barbers	1
bargain	1
barr	1
base	3
basely	1
bashfull	1
bates	1
baul	1
bawle	1
be	143
bear	1
beast	1
beat	1
beauteous	2
became	1
because	4
become	3
becoming	3
bed	5
been	15
beer	2
beeter	1
before	5
beg	1
begines	1
begins	1
begon	1
begone	4
behang	1
behind	1
being	5
beliefe	1
believe	17
bellies	1
belly	1
belov	1
below	1
ben	1
bench	1
benefit	1
beside	1
besides	1
besots	1
best	4
bestowing	1
betimes	1
betims	1
betray	1
better	9
between	5
betwixt	1
beyond	1
bid	2
bids	1
bigger	1
billingsgate	2
billinsgate	1
birth	1
bit	1
bitterness	1
blame	1
bleak	1
bless	3
blessing	2
blessings	1
blest	1
blood	4
bloodworth	1
blowes	1
blown	1
board	1
boat	3
body	9
bold	3
bon	1
bone	1
bones	1
bookes	1
born	4
bosome	4
both	8
bottle	2
bottom	2
bound	1
bout	1
box	6
boy	57
boyes	9
boyles	1
braines	1
brave	2
bravely	1
braziel	1
bred	3
breech	1
breeding	3
brick-hills	1
bring	6
brings	1
brisk	3
brother	33
brothers	2
brought	6
brushing	1
bull	1
burnt	1
busie	3
business	6
bussels	1
but	128
butter	1
buy	1
buz	1
by	47
bye	1
cabinet	2
calamy	1
call	13
calls	1
calumny	1
came	9
cammand	1
can	20
canary	4
candle	1
