	205
1	37
10	1
11	5
115	1
12	6
13	8
130	1
14	2
141	1
142	1
15	6
16	4
17	5
18	1
19	2
2	19
21	2
22	3
24	3
25	3
26	1
3	10
30	1
33	1
34	1
4	6
43	2
44	2
45	1
5	10
53	1
6	3
63	1
7	9
72	1
77	1
8	9
84	2
9	2
91	1
a	158
abide	1
abiding	1
abie	1
able	6
aboue	6
about	1
abraham	1
abrahams	1
absolueth	1
abundance	1
abundaunce	1
abyding	1
acceptable	1
accompte	1
according	6
accordinge	5
accordingely	1
accordingly	2
accordynge	1
accustome	1
acknowledge	3
act	3
acte	1
actes	1
action	1
adam	2
adde	1
adoption	1
adorne	1
aduersary	1
aduocate	1
ad¦uersaries	1
affaccions	1
affections	4
affectiōs	2
affecti¦ons	1
affirmation	1
affirme	1
afflicted	1
affliction	3
afflictiōs	1
afflic¦tious	1
aforehād	1
afraide	2
afrayde	1
after	11
afterwarde	1
againe	12
against	7
againste	1
agayne	4
agaynst	2
age	3
aiwayes	1
al	34
alas	3
all	60
allegorically	1
allo	1
almeste	1
almighty	1
almoste	1
alonly	1
alowe	1
also	22
although	5
althoughe	4
altogether	3
alwaies	5
alwayes	4
al¦waies	1
am	10
amen	6
amende	1
amendement	1
amendment	1
amens	1
amiable	2
amongest	3
amongst	1
amongste	1
an	27
anababtistes	1
anabaptistes	1
and	419
angel	1
angelles	2
angels	9
annexed	1
answere	2
antechrist	1
any	22
anye	5
apeare	1
apearing	1
apereth	1
apo	1
apoc	8
apoca	3
apostle	5
apostles	4
appeare	3
appearing	2
appere	2
appereth	1
appointed	2
approch	2
approched	1
approued	1
aproch	1
apte	1
ap¦peare	1
archangels	4
archā¦gels	1
ardent	1
are	66
arise	2
art	8
arte	3
article	2
articles	1
artycles	2
aryse	1
ar¦riue	1
as	148
ascende	1
asceuded	1
ashes	1
aske	2
assent	1
asshes	1
assist	1
assured	3
assuredly	1
assu¦red	1
asswage	1
at	12
attayne	1
atteining	1
augmented	1
augustine	1
aungelles	1
aungels	3
aunswere	1
auoiding	1
auoyding	1
awake	1
away	8
awaye	2
awayes	1
ayde	1
ayer	1
ayre	2
a¦boue	1
ābition	1
āce	1
backe	2
bad	1
baptised	2
baptisme	3
baptysme	1
bap¦tisme	1
bareheaded	1
barren	2
be	195
beare	4
bearer	1
beareth	1
beastes	5
beatitude	3
beauty	1
beau¦tifull	1
because	13
become	4
bed	5
bee	27
beeleue	1
before	15
befort	1
begin	1
begonne	3
begynning	1
behalfe	1
behaue	1
beheld	1
behind	2
behold	5
beholde	4
beholding	1
beholdinge	1
being	19
beinge	4
beīg	2
beleeue	1
beleeuers	1
beleue	16
beleuers	1
beleueth	1
beliefe	1
beloued	2
ben	3
bene	2
beneath	1
benefite	2
benefites	1
benefits	1
beninge	1
beseche	1
besechinge	1
besides	2
besids	1
best	2
beste	1
beter	1
better	6
betwene	1
betwixt	1
betwixte	1
bewtie	1
bewtye	1
beynge	1
be¦nefite	1
birth	7
bishops	1
bitter	1
blerednes	1
blessed	16
blessing	1
blessinge	1
blessinges	1
blessings	1
blind	1
blindnes	2
blisse	1
blisseful	1
blood	1
bloud	1
blowne	1
blysse	2
bocardo	1
bodie	1
bodies	9
body	27
bodyes	1
bone	2
bones	2
booke	1
bore	1
borne	5
both	9
bounds	1
bounteous	1
boyses	1
bōdage	1
bradford	3
brandes	1
breake	1
bretherne	1
breuitie	4
bride	1
briefely	1
bright	1
brightnes	3
bring	2
bringe	5
bringeth	1
brin¦geth	1
broght	1
broken	1
brokes	2
brother	4
brought	1
broughte	1
bryde	1
brydel	1
brynge	1
bryngeth	2
burneth	1
burnte	1
burthen	1
but	118
by	73
byd	2
bylokīg	1
c	14
cal	3
calamities	1
call	2
called	6
calleth	1
callinge	1
callinges	1
came	6
can	27
candell	1
cankers	1
cannot	6
canste	1
cantic	1
carcase	1
care	2
carefull	1
cares	1
careth	2
carnall	2
caryed	1
caryeth	1
case	1
cast	3
caste	1
catholike	3
cattel	1
caught	1
cause	7
causes	1
cānot	1
cease	3
ceassed	1
cecitie	1
celestial	1
ceraphins	1
cerificat	1
cerrayn	1
certain	1
certaine	3
certayne	3
certein	4
certeine	2
certeyne	1
chapter	1
charge	1
chere	1
cherefull	1
cherefully	1
cherubins	2
cherubis	1
chiefe	1
child	1
children	13
childrē	2
chil¦dren	2
chose	1
chrisses	1
christ	45
christe	18
christendom	1
christes	17
christian	3
christians	1
christs	1
chryst	1
chryste	2
chrystes	3
church	26
churche	4
churches	1
chylde	2
chyldren	5
cite	1
citie	1
claritie	1
cleane	2
cleaueth	1
cleere	1
clerely	1
clerenes	1
cloudes	4
clowdes	1
co	1
coequal	1
coeternal	1
cold	1
colde	2
cols	1
come	39
comfort	5
comforte	5
comforter	3
comforts	1
commende	1
commeth	5
commodious	1
commodities	10
common	1
communicating	1
communion	3
company	4
companye	1
compare	1
compared	3
compareth	1
comparison	6
comparyson	1
compasse	1
compa¦rison	1
complaine	1
conceaue	1
conceiue	2
conceiued	1
concerning	2
concernīg	2
conceyue	1
concord	1
concorde	1
concupicences	1
condempne	2
condicions	1
confesse	4
confessors	4
confidence	2
confirme	1
conflicte	1
confusion	1
coniunctiō	1
conscience	5
consciences	1
consider	1
consideration	2
consideratiōs	1
considered	3
consiste	1
consolation	1
consolations	1
consubstanciall	1
consyder	2
consyderation	1
conteined	1
conteininge	1
contemne	1
contemning	1
contemplaciō	1
contempned	1
contempt	1
content	5
contente	1
contented	1
contention	1
continual	1
continuall	2
continually	2
continue	1
contrarily	1
contrey	1
conuerted	1
con¦cerning	1
con¦sciēce	1
cor	15
corne	1
corporal	5
corporall	4
corrected	1
corrupt	2
corrupte	1
corruptible	1
corruption	2
cor¦rupt	1
couer	3
couered	1
could	3
coulde	1
councel	1
counteruaile	1
countrey	1
coupled	1
courtes	4
courtouines	1
coutemplation	1
cō	1
cōceaue	1
cōception	1
cōcerning	2
cōcernyng	1
cōe	1
cōfortably	1
cōmaundement	1
cōming	2
cōmodities	2
cōmunion	1
cōmuniō	1
cōmuniū	1
cōpany	1
cōpared	2
cōparison	2
cōscience	1
cōsciences	1
cōsider	1
cōsolation	1
cōteined	1
cōtrary	1
cōuert	2
cōuerted	1
cō¦maundeth	1
creator	2
creatures	1
credit	2
credite	1
credyted	1
crepe	1
crie	3
crosse	2
crosses	1
crounes	1
crownes	1
crucifie	1
cry	4
crye	2
crying	2
cytie	1
daies	1
daintely	1
dame	1
damme	1
damnation	1
damnatiō	2
dampnation	1
dan	2
danger	8
dangers	2
daniel	3
daniell	2
dark	3
darke	3
darts	1
daughter	1
dauid	3
dauide	1
daunger	12
daungerous	1
daungerously	1
daungers	3
daūger	1
daūgers	1
day	24
daye	4
dayes	1
dayly	2
dāmage	1
dea	1
dead	6
deadly	1
deaf	1
deare	17
dearelye	1
dearknes	1
dearly	1
dearth	1
death	76
deathe	11
deceane	1
decked	1
declare	2
declared	1
dede	7
deed	1
deede	3
deere	1
defence	2
delite	1
deliuer	3
deliuered	1
deliuereth	1
delyuer	2
delyueraunce	1
deniall	1
deny	5
denyal	1
denye	1
depart	4
departe	1
depe	2
depresseth	1
descend	1
descending	1
deserued	2
desier	3
desierable	1
desire	14
desired	11
desires	2
desirest	2
desireth	2
desiring	1
desited	1
despaire	1
destroy	2
destroye	1
destroyed	2
destruction	1
det	1
dettes	1
deuyll	1
dew	1
did	1
diddest	2
die	2
died	2
dieng	1
difference	1
dignitie	1
dignities	1
dignity	2
diligēce	1
dirtie	1
discending	1
discerned	2
discommoditie	1
discommodities	3
diseases	3
dishonor	1
dismay	1
dismisse	1
dispaire	3
dispelling	1
