	3
1	2
10	1
104	1
110	1
114	1
116	1
118	2
120	1
122	1
127	1
137	1
149	1
153	1
156	1
158	1
160	1
164	1
1676	1
1677	3
1678	1
1680	1
1682	3
1683	1
180	1
206	1
25	1
49	1
66	1
69	1
7	1
87	1
9	1
90	1
97	1
99	1
a	480
abandon	1
abash	1
abeas	1
abed	1
abhor	1
able	1
aboard	1
abode	1
abound	3
about	19
above	25
abraham	1
abroad	8
absence	4
absolute	2
abundance	1
abundantly	1
account	3
accountable	1
accusing	1
acquainting	1
acquit	2
across	1
act	7
action	3
actions	7
active	3
actor	1
actors	2
acts	4
adamant	1
adays	1
add	5
added	2
adding	1
address	5
adieu	3
admir	1
admire	2
admiring	1
admit	1
admits	1
admitted	2
ado	1
ador	1
adore	4
adores	1
adorn	5
advance	2
advancing	1
advantage	3
advantages	1
advent	1
adventure	1
adventurers	1
advertisement	1
advice	3
advis	2
advise	3
advowson	1
affairs	2
affect	1
affectedness	1
affirm	1
afflicts	1
afford	3
affords	1
affright	2
affront	1
afresh	1
africa	1
after	14
after-age	1
agag	1
again	9
against	5
agast	1
age	18
agen	5
ages	3
aggressors	1
agincourt	1
ago	1
agog	1
agonies	1
agree	2
agreeable	2
agues	1
ah	11
aid	5
aided	1
aim	4
air	10
ajax	1
alarm	1
alarms	2
alas	4
alban	1
albanact	1
albans	1
albion	1
alcoves	1
ale	1
alexander	3
algerine	1
alicant	1
alike	5
alive	1
all	272
all-powerful	1
all-seeing	1
all-wise	1
alledg	1
alley	1
alli	1
alliance	1
allons	1
allow	2
allures	1
allusion	2
almanacks	1
almighty	6
almost	3
alms	2
alone	25
along	7
aloof	1
aloud	3
already	1
altars	1
alter	1
alters	1
altho	1
always	4
am	16
amalek	1
amaze	1
amazement	1
ambition	1
ambitious	1
ambush	2
amidst	3
amiss	2
ammon	1
amongst	9
amor	1
amorous	1
amount	1
amours	2
amuse	2
an	66
anacreon	2
anarchy	1
ancestor	1
ancestors	6
ancient	6
and	1253
anew	1
angel	2
angelo	1
angels	3
anger	1
angry	4
animals	1
anniverse	1
anon	1
another	19
answer	7
ant	2
antedate	1
antichrist	1
antick	1
antiquated	1
antiquity	1
any	28
apart	1
apartment	1
ape	1
apiece	1
apparel	1
appear	26
appearances	1
appears	1
appease	1
appetite	1
applaud	1
applauder	1
applause	2
application	1
applied	1
apply	4
appointed	1
approach	4
approaching	1
approve	1
april	1
apt	1
arabia	1
archer	1
arches	1
are	91
argue	1
argument	1
arguments	1
aright	3
arise	1
aristotle	3
arithmetick	1
arm	4
armed	1
armory	1
armour	4
arms	10
army	2
arose	1
around	3
arraign	1
arrant	1
array	1
arrears	1
arrogant	1
arrows	1
arse	1
arse-h—so	1
art	29
artful	1
arthur	2
artifice	1
artist	1
artless	1
arts	6
as	142
ashdod	1
ashes	1
ashore	1
ask	7
askalon	1
asleep	2
aspire	3
aspires	3
aspiring	1
ass	11
assails	1
assault	1
asses	1
assign	1
assist	2
assize	1
assur	1
astray	1
astrologers	1
at	147
atarna	1
atheist	1
atheists	1
athenaeus	2
athens	1
atoms	2
atonement	1
attack	2
attain	1
attend	2
attendance	2
attended	2
attends	1
attir	1
attone	1
attorneys	1
attractions	1
audience	3
audit	1
aug	1
aurora	1
ausim	1
authentick	1
author	11
authors	3
avail	3
avarice	1
avaux	1
avenger	1
averse	1
avoid	1
avoidless	1
avoids	1
awaits	1
awake	1
away	13
awe	1
awful	1
awkard	2
awkardly	1
awry	1
aws	1
ay	1
b	2
babes	1
baboon	1
bacchus	1
back	10
back-side	2
backward	1
backwards	1
bad	4
badges	1
bag	1
bail	1
bait	1
balance	1
ballads	1
banish	1
bank	1
bank-side	1
banker	2
bankrupt	2
banks	1
bantam	2
bar	2
barbadoes	1
barbarian	1
barbarous	4
bard	3
bare	3
barely	1
bark	1
barnet	1
barns	1
barons	2
barren	4
barristers	1
barter	2
bartholmew	2
base	7
baser	1
bashful	1
battel	2
battery	1
battles	2
bawds	2
bawl	2
bays	2
be	175
beam	1
beams	2
bear	27
beard	3
bears	3
beast	6
beastly	1
beasts	2
beat	2
beats	1
beau	1
beauteous	4
beauties	3
beauty	3
became	3
because	9
beck	1
become	4
becomes	1
bed	10
bed-rid	1
bedlam	3
bedloe	1
beds	1
been	23
befal	3
before	27
beg	6
beget	1
begets	1
beggary	1
begging	2
begin	5
begot	1
beguile	2
begun	1
behind	8
behold	1
being	8
belief	1
believ	2
believe	3
belike	3
bell	2
bell-mens	1
bellarmin	1
bells	2
belov	1
beloved	2
below	13
bely	2
ben	3
bench	1
benchers	1
bend	1
bended	1
beneath	6
benefice	1
benefit	1
bent	1
bereft	1
beset	1
beshrew	1
beside	4
besides	12
besse	1
best	14
betake	1
bethink	1
betimes	1
betray	1
better	11
betters	1
between	1
betwixt	3
bewitching	1
bewray	1
beyond	4
bibles	1
bid	5
bids	3
big	2
bigger	1
bilk	1
bill	2
billinsgate	1
billows	1
bills	3
bind	4
birchen	1
birth	9
births	2
bitch	1
bite	1
black	3
black-pudding	1
bladder	1
blade	1
blades	1
blame	1
blaspheme	2
blast	2
blasts	1
blaze	2
blazing-star	1
blazoning	1
blemishes	1
bless	22
blessed	1
blessing	3
blest	6
blew	1
blind	5
blindly	1
blindness	1
bliss	7
blood	16
bloody	4
bloom	1
blooming	3
blown	1
blows	2
blund	1
blush	3
blushes	4
blushing	1
blusht	1
blust	1
board	2
board-wages	1
boast	9
boasted	4
boasts	1
bodies	3
body	2
boggle	2
boil	1
boileau	1
boileav	2
bold	13
bolder	1
boldly	5
boldness	1
bolts	2
bondage	1
bonds	1
bones	1
book	18
books	4
bookseller	1
boot	4
booth	1
boots	2
booty	2
bord	1
bordeaux	2
borders	1
bore	5
bores	1
born	3
boroski	1
borrow	4
borrowing	1
both	22
bottle	2
boughs	1
bought	1
bound	3
bounding	1
boundless	3
bounds	2
bounteous	1
bounty	2
bout	1
bovey	1
bow	4
bowels	1
bowl	3
box	1
boy	3
brace	1
bradshaw	1
braided	1
brain	5
brains	7
branch	2
brandish	3
brass	2
brat	1
brav	1
brave	10
bravely	1
braver	2
brawls	2
bray	1
braying	1
bread	5
breaden	1
break	2
breast	14
breasts	1
breath	7
breathing	1
bred	1
breech	1
breeches	1
breed	4
breeding	2
brevis	1
brib	2
brickbats	1
bride	2
bridg	2
brief	2
bright	12
brighter	1
brightness	2
bring	14
brings	4
brink	1
brisk	2
brisker	1
british	2
brittish	1
broad	1
broke	3
broken	3
brook	1
brooms	1
brothel-fights	1
brothels	1
brother	2
brothers	1
brought	13
brow	1
brown	1
brute	4
brutes	2
buff	1
buffoon	1
buffooneries	1
build	3
building	1
buildings	1
bulk	1
bulk-ridden	1
bulks	1
bulky	2
bull	2
bullies	2
bully	1
