	108
1	26
10	16
100	2
101	3
102	4
104	1
105	1
106	1
108	1
11	11
115	1
117	1
12	8
120	1
121	1
124	1
125	2
128	2
13	9
133	2
134	1
136	2
137	3
138	1
139	1
14	9
142	1
143	1
144	1
15	10
150	3
152	1
155	1
156	3
158	1
159	1
16	12
161	3
162	1
163	3
164	1
1641	2
1642	6
1643	6
1644	5
1645	4
1646	1
1647	1
1648	4
165	1
1650	1
1651	2
1652	1
1653	1
1658	2
1659	3
166	3
1660	2
1661	2
1662	2
1663	2
1664	2
1665	3
1666	1
1667	1
1668	1
1669	4
1684	1
1685	2
16th	1
17	9
171	1
176	1
178	1
179	1
17th	1
18	6
180	1
182	1
183	1
184	1
186	1
189	1
19	6
190	2
191	1
192	1
197	1
198	2
2	29
20	16
200	1
2000	3
203	1
204	1
206	1
209	1
21	6
210	2
211	1
212	1
214	1
215	1
217	1
218	1
219	1
22	13
220	2
221	1
222	1
223	1
225	3
228	2
22th	2
23	19
231	1
233	1
236	1
237	1
24	13
240	1
243	1
246	1
247	1
249	1
24th	1
25	12
250	1
25th	1
26	5
27	9
28	10
28th	1
29	13
29th	2
2o	1
3	32
30	8
30th	1
31	2
32	1
33	2
34	1
341	1
35	5
36	2
37	1
38	1
39	1
4	19
40	1
41	4
42	3
43	1
44	2
45	1
46	1
47	1
48	1
4o	1
5	15
50	1
51	3
52	3
53	2
54	1
55	4
56	2
57	3
58	2
59	1
6	12
60	4
61	4
62	3
63	3
64	1
65	2
66	7
67	6
68	1
69	1
6th	1
7	11
70	3
71	3
72	2
73	2
74	3
76	2
77	2
78	1
79	2
8	11
80	1
81	2
82	3
83	1
84	1
85	1
86	1
87	3
88	2
8o	3
9	10
90	3
91	1
92	1
93	1
94	1
95	1
96	1
98	4
99	2
:they	1
a	2634
aagreed	1
ab	2
abandon	1
abandoned	3
abandoning	2
abase	1
abasing	1
abate	2
abated	1
abates	1
abbey	4
abbeys	1
abby	1
abel	3
aberdeen	6
abhalone	1
abhorred	1
abhorring	1
abhors	1
abide	1
abilities	1
ability	1
abject	3
abjuration	2
abjurators	1
abjure	3
abjures	1
abjuring	1
abjurors	3
able	33
ablest	2
abolish	6
abolished	22
abolishing	4
abolition	1
abominable	6
abominably	1
abominating	2
abounded	1
abounding	1
about	267
above	54
above-mentioned	1
aboyne	1
abraham	5
abridged	2
abridgment	1
abroad	39
abrogate	2
abrogated	11
abrogating	2
abrogation	2
abrupt	1
abruptly	1
abscond	3
absconded	1
abscondents	1
absence	6
absent	5
absentes	1
absit	1
absolute	9
absolutely	4
absolution	1
absolved	1
abstain	1
abstained	2
abstruse	2
absurd	1
absurdly	1
abundantly	3
abuse	1
abused	6
abuser	1
abuses	2
abusing	2
abyss	1
ac	3
accept	4
acceptable	10
accepted	1
accepts	1
access	5
accessary	1
accession	4
accident	3
accidentally	7
accidents	2
acclamations	10
accommodata	1
accommodated	2
accommodating	4
accompanied	10
accompany	4
accompanying	3
accomplish	1
accomplished	5
accomplishing	2
accomplishments	3
accord	10
according	100
accordingly	5
accordng	1
accords	2
account	36
accountable	1
accounted	2
accounts	1
accrew	1
accrue	1
accumulated	1
accurate	1
accursed	7
accusation	4
accusations	6
accuse	15
accused	33
accusers	6
accuses	2
accusing	7
accustomed	16
ack	1
ackland	1
acknowledge	7
acknowledged	7
acknowledging	3
acquaint	13
acquaintance	3
acquainted	15
acquainting	2
acquaints	6
acquiesce	5
acquire	1
acquired	1
acquitted	7
acres	1
act	75
acted	12
acting	6
actings	2
action	18
actions	28
active	1
actors	2
acts	27
actual	1
actually	5
acumulative	1
acute	1
ad	15
adams	1
adapted	3
add	4
adde	9
added	12
addicted	4
adding	3
additions	1
address	5
addressed	3
addresses	20
addressing	2
adhere	4
adhered	6
adherents	7
adhering	1
adieu	1
adjacent	3
adjoining	1
adjourn	1
adjourned	4
adjoyning	3
adjudge	2
adjudged	2
adjure	2
adjured	1
adjusted	1
adjusting	2
adjutators	8
adlington	1
administer	1
administration	29
administred	10
administring	4
admiral	31
admiral-ship	1
admirals	2
admiralty	3
admiration	5
admire	3
admired	1
admiring	1
admission	3
admit	8
admits	2
admittance	1
admitted	34
admitting	2
admonish	1
admonition	3
admonitions	3
ado	15
adoe	3
adopted	1
adored	1
adorers	1
adoring	1
adorn	1
adorned	3
adulterer	1
advance	6
advanced	21
advancement	3
advances	4
advancing	2
advantage	16
advantageous	3
advantages	10
adventu	1
adventure	1
adventurers	1
adversaries	3
adverse	3
adversities	1
adversity	4
advertised	2
advice	29
advisamento	2
advise	5
advised	11
advises	2
advising	2
advocates	2
aedem	1
afar	1
affable	1
affair	9
affaires	1
affairs	150
affairsit	1
affect	1
affectation	1
affected	23
affecting	3
affection	12
affectionate	1
affectionately	1
affections	6
affects	1
affinity	3
affirm	6
affirmed	2
affirming	2
affirms	1
afflicted	2
affliction	1
afflictions	1
afford	4
afforded	5
affording	3
affored	1
affront	8
affronts	5
afoot	2
afore-mentioned	1
aforementioned	5
aforesaid	24
afraid	9
afresh	3
africa	2
after	288
afternoon	4
afterterwards	1
afterward	42
afterwards	70
again	150
against	321
agan	1
aganst	1
age	28
aged	6
agent	2
agents	7
ages	17
aggravated	1
aggravates	1
aggravating	1
aggravations	1
aggression	2
aggressors	1
aggressour	1
agitation	2
ago	13
agog	1
agony	1
agree	17
agreeable	1
agreed	34
agreeing	4
agreement	9
agreements	4
agrees	1
agricolae	1
ague	3
aid	8
aiding	1
ailsbury	1
aimed	1
aiming	1
air	9
airby	1
aisckew	1
aiscough	1
aiskew	3
aix	1
alan	4
alarm	1
alarmed	2
alarms	1
alas	6
alass	1
albans	3
albemarl	2
albemarle	29
albemarlian	1
albermarle	1
alderman	1
aldermen	10
ale-houses	1
alehouses	1
alester	1
alexander	4
algerines	3
algernon	1
algiers	2
alied	1
alienate	2
alienated	1
alighting	1
alike	2
aliqualiter	1
aliquis	1
aliud	1
alius	1
alive	12
all	1092
allarm	4
allayed	2
alleadge	1
alleadged	6
alleadging	2
alledge	1
alledged	2
alledging	3
allegiance	13
allegiantiam	1
allerton	1
allestry	1
alliance	5
allied	3
alloquatur	1
allot	1
allow	7
allowed	19
allowing	3
allows	6
allure	5
allured	8
allurements	5
alluring	2
allyance	1
almighty	21
almost	72
alone	37
along	14
alonso	3
already	34
also	289
altar	1
altars	1
alter	3
alteration	3
alterations	2
altered	9
