	61
1594	1
299	1
a	281
aarms	1
abandon	1
abby	1
abide	2
able	5
aboue	3
about	12
abroach	1
abroad	2
absence	2
abuse	1
abuses	1
accept	1
accompanied	1
according	1
account	3
accursed	2
accuseth	1
achillis	1
acquaintance	1
acquainted	2
act	1
adde	3
addes	1
aderstoe	1
admires	1
admit	1
admitted	1
admonished	1
ado	2
adoo	1
adorne	1
adrest	1
aduanced	2
aduantage	1
aduersary	1
aduersitie	1
aduertisements	1
aduise	2
aduises	1
affection	1
affectiō	1
affoord	1
affright	2
afore	1
afraid	1
afresh	1
afright	1
after	14
again	3
againe	12
against	13
age	5
aged	5
ago	1
agree	3
agreed	3
agreement	1
ah	26
aide	12
aim	1
aime	1
aimes	3
aiudge	1
al	2
alaie	2
alarme	1
alas	1
alasse	7
aldermen	1
aleageance	1
all	84
alleageance	1
alleaging	1
allowing	1
alls	1
almes	1
almighty	1
almost	3
aloft	2
alone	4
along	1
aloofe	1
alot	1
alreadie	5
already	1
also	5
alter	1
altho	1
altogither	2
alwaies	1
alway	2
am	41
amaine	2
amazed	1
amazement	1
ambition	2
ambitious	1
ambusht	1
amitie	1
amity	1
among	7
amongst	2
an	16
ancestors	1
ancient	1
and	583
ands	1
angry	1
animates	1
anon	3
another	9
answer	2
answere	7
answered	2
answeres	1
ant	1
antichrist	1
any	17
anything	1
apace	1
aparant	1
apeale	1
appeale	1
appeare	1
appoint	1
appointed	2
apprehending	1
apprehension	1
approached	1
arch-bishop	1
are	81
arest	4
arested	2
ariual	1
arme	2
armed	1
armes	4
armor	1
army	1
arnoll	3
arrant	1
arrested	1
arriue	2
arrow	2
art	13
as	120
ase	1
aside	1
aske	5
assembly	1
assignde	1
assistance	1
assoone	1
assure	2
assured	1
at	72
atache	1
atachment	1
atacht	1
attached	1
attected	1
atteining	1
attempt	1
attempts	2
attend	4
attendance	2
attended	3
attends	1
august	1
authoritie	12
authority	1
awake	1
away	21
ay	7
ayde	4
ayders	1
aye	3
ayre	1
babes	3
babies	1
back	1
backe	1
backed	1
bad	2
baile	2
bake	1
ball	1
ban	4
band	4
banister	2
bankerouts	1
bankes	1
banne	1
bare	3
bargaine	1
barley	1
base	2
baser	3
bastardes	1
bastards	1
batalians	1
battel	1
battell	10
battelles	1
battels	2
bay	1
baynards	1
be	171
beard	1
beare	9
beares	1
beasts	1
beat	1
beate	3
because	8
become	7
becommeth	1
bed	8
bedfellow	1
beds	2
bee	2
beene	1
beest	2
before	12
beg	3
began	2
beggar-woman	1
beggars	1
begge	1
begged	1
begging	1
begin	1
beginners	1
beginning	2
begins	1
begone	1
begotten	1
begun	2
behalfe	1
beheaded	1
behind	5
behinde	3
behold	5
beholding	1
being	16
belike	1
bellowing	1
bene	21
beset	2
beside	2
besides	6
best	8
bestow	2
betraid	1
betraie	2
betraied	4
betraiedst	1
betray	1
betrayd	2
better	10
betters	1
between	1
betweene	5
betwixt	4
bewailes	1
bewitched	1
bewith	1
bewraid	1
bewray	1
beyond	2
bid	5
bids	1
bin	2
bindes	2
bird	1
birdes	1
birds	2
bishop	2
bishops	1
bittaine	1
blacke	2
bleating	1
blesse	3
blessed	2
blessing	1
blew	1
blisfull	1
blood	17
bloodie	4
bloods	1
blot	1
blow	1
blunt	8
blush	1
bodie	9
bodies	1
body	2
bold	2
boldly	1
bond	1
bondes	2
bone	1
bonum	1
booke	1
boord	3
bootes	2
bootlesse	2
borne	1
bosworth	1
both	25
bough	1
bound	1
bounde	1
bountifull	2
bow-men	1
boy	4
braines	1
brambles	2
branch	1
branches	1
braue	10
