	217
,an	1
.he	1
1	958
10	111
100	10
1000	6
10000	1
100000	2
1000l	1
100l	3
101	6
102	5
103	4
104	5
105	4
106	5
107	5
108	5
109	4
10l	3
10m	1
10th	2
11	90
110	3
111	4
112	3
113	6
114	3
115	3
116	3
117	4
118	3
119	4
11m	1
11th	2
12	102
120	3
1200	3
121	4
122	3
123	3
124	7
125	4
126	3
127	5
128	4
129	4
12m	1
12th	2
13	98
130	4
131	3
132	5
133	5
134	4
135	3
136	4
137	4
138	3
139	5
13m	1
13th	5
14	101
140	5
1400	1
141	4
142	4
143	6
144	4
145	4
146	4
147	6
148	4
149	4
14m	1
14th	1
15	91
150	5
1500	1
151	5
152	5
153	5
154	5
155	4
156	6
1562	1
157	7
158	3
159	4
15m	1
15th	1
16	66
160	5
1600	1
161	5
1615	2
1618	1
162	6
1625	1
1626	1
163	2
1634	1
1637	1
1639	2
164	4
1640	11
1641	8
1642	1
1644	1
1646	1
1648	1
1649	1
165	4
1650	1
1651	1
1653	13
1655	11
1658	12
1659	11
166	3
1660	34
1661	8
1662	13
1663	8
1664	4
1665	15
1666	3
1667	1
1668	6
1669	2
167	6
1670	9
1671	6
1672	6
1673	3
1674	4
1675	3
1676	6
1677	5
1678	6
1679	4
168	4
1680	1
1681	1
1682	3
1684	3
1688	1
169	5
1695	1
1696	1
16m	1
16th	3
17	59
170	4
171	5
172	4
173	3
174	4
175	5
176	5
177	4
178	5
179	4
17m	1
18	48
180	4
1800	9
181	5
182	5
183	4
184	3
185	4
186	3
187	4
188	5
189	4
18m	1
18th	4
19	34
190	4
191	5
192	4
193	3
194	3
195	4
196	4
197	5
198	7
199	7
19m	1
19th	3
1m	3
1st	1
1um	1
2	918
20	62
200	8
2000	6
20000	1
200000	2
200l	3
201	3
202	3
203	3
204	3
205	5
206	5
207	4
208	4
209	3
20l	1
20th	3
21	30
210	4
211	3
212	3
213	3
214	3
215	2
216	2
217	3
218	4
219	2
21st	1
22	38
220	2
221	3
222	2
223	2
224	2
225	2
226	2
227	2
228	2
229	3
22d	1
23	33
230	4
231	3
232	3
233	2
234	2
235	2
236	2
237	3
238	3
239	2
23d	2
23l	1
24	39
240	2
241	3
242	3
243	1
244	2
245	2
246	2
247	2
248	3
249	2
24th	1
25	38
250	2
251	2
252	2
253	3
254	2
255	2
256	2
257	2
258	2
259	3
25th	3
26	32
260	2
261	2
262	2
263	2
264	2
265	3
266	3
267	3
268	2
269	2
26th	3
27	23
270	2
271	2
272	2
273	2
274	2
275	3
276	3
277	2
278	2
279	4
27th	1
28	29
280	4
281	3
282	3
283	3
284	3
285	2
286	3
287	4
288	3
289	3
29	30
290	3
291	3
292	3
293	4
294	3
295	3
296	2
297	2
298	3
299	3
2d	6
2dly	1
2m	5
2um	3
3	612
30	29
300	8
30000	3
300l	2
301	4
302	3
303	3
304	2
305	3
306	2
307	2
308	3
309	2
30l	1
30th	1
31	13
310	2
311	2
312	2
313	2
314	2
315	2
316	3
317	2
318	2
319	2
31st	1
32	16
320	2
321	2
322	2
323	2
324	2
325	2
326	2
327	2
328	2
329	2
33	12
330	1
331	1
332	2
333	2
334	2
335	1
336	2
337	1
338	1
339	1
34	15
340	1
341	2
342	1
343	2
344	1
345	1
346	2
347	1
348	1
349	1
34th	1
35	19
350	2
351	1
352	1
353	1
354	1
355	1
356	2
357	1
358	2
359	1
35th	1
36	16
360	1
361	1
362	1
363	2
364	1
365	2
366	2
367	2
368	1
369	2
37	10
370	1
371	1
372	1
373	2
374	2
375	2
376	2
377	3
378	2
379	2
38	9
380	2
381	2
382	2
383	2
384	2
385	2
386	2
387	2
388	1
389	1
38th	1
39	28
390	1
391	1
392	1
393	1
394	1
395	1
396	1
397	1
398	1
399	1
3d	2
3dly	1
3m	4
3um	3
4	387
40	18
400	2
4000	1
40000	2
401	1
402	1
403	2
404	1
405	1
406	1
407	2
408	2
409	1
40l	10
41	7
410	1
411	1
412	1
413	1
414	1
415	1
416	1
417	1
418	1
419	1
42	9
420	1
421	1
422	1
423	1
424	1
425	1
426	1
427	1
428	1
429	1
43	8
430	2
431	3
432	2
433	2
434	2
435	2
436	2
437	1
438	2
439	1
44	6
440	2
441	1
442	2
443	1
444	2
445	2
45	9
46	10
47	11
48	9
488	1
49	10
4m	2
4th	5
4um	2
5	299
50	14
500	8
5000	3
500l	2
51	10
51st	1
52	6
520	1
53	7
54	6
55	5
56	7
565	1
57	4
58	9
59	5
5l	1
5m	1
5th	3
6	224
60	14
600	5
60000	2
600l	1
60l	4
61	10
62	8
63	7
64	10
65	9
66	8
67	7
68	6
69	7
6l	1
6m	1
6th	5
7	163
70	9
71	6
72	5
73	7
74	8
75	7
76	7
77	7
78	6
79	7
7m	1
7th	3
8	132
80	11
800	1
8000	1
800l	1
80l	2
80th	2
81	6
82	5
83	7
84	5
85	9
86	7
87	4
88	6
89	7
8l	2
8m	1
8th	1
8v	1
9	110
90	9
90l	1
90th	1
91	5
92	4
93	6
94	3
95	3
95th	1
96	6
97	3
98	5
99	4
9m	1
9th	2
]for	1
]there	1
]—i	1
a	8678
a-day	1
a-kin	1
aad	1
aair	1
aaron	3
aathema	1
ab	14
abandon	1
abanement	1
abasement	1
abassia	1
abassines	3
abassnes	1
abate	27
abated	16
abatement	20
abatements	22
abateth	1
abating	6
abbey	2
abbington	2
abbot	3
abbots	4
abbreviate	1
abbreviated	2
abbuttresses	1
abel	2
aberdeen	2
abergaveny	1
abergeveny	1
abet	3
abetting	2
abhoence	1
abhor	18
abhoreth	1
abhorr	1
abhorred	17
abhorrence	3
abhorreth	2
abhorring	5
abiathar	2
abide	5
abiding	1
abilities	28
abilities-moderation	1
abilitiès	1
abilitiés	1
ability	38
abjur	1
able	205
abler	7
ablest	14
ablities	1
abner	1
abode	10
abolish	1
abolished	3
abolishing	3
abolition	2
abominable	2
abominating	1
abor	1
abortive	1
aboundantly	1
abounded	1
aboundeth	1
abounding	7
about	789
above	159
abovesaid	2
abraham	6
abreast	1
abreviation	1
abridgment	1
abroad	56
abrogate	5
abrogated	3
abrupt	1
abruptions	1
abruptly	3
abs	1
abscond	1
abscondi	1
absconding	2
abseindere	1
absence	12
absent	18
absented	1
absentes	1
