	30
0	1
1	21
10	89
10th	15
11	3
11th	8
12	16
12th	10
13	8
13th	3
14	2
14th	7
15	26
15th	6
16	9
1668	2
1670	9
1671	3
1674	7
1675	2
1678	4
1679	2
16th	3
17	4
17th	4
18	9
18th	8
19	2
19th	9
1st	6
2	18
20	21
20th	4
22	4
22d	1
23	1
23d	2
24	1
25th	2
26th	10
27th	2
28th	6
29th	8
2d	11
2dly	1
3	18
30	5
30th	6
31th	2
33	1
3d	12
3dly	1
4	15
40	2
4th	6
4thly	1
5	62
50	2
52	1
5s	1
5th	18
6	27
68	1
69	1
6th	14
7	15
74	16
75	15
76	8
78	6
7th	14
8	7
8d	1
8th	13
9	8
9th	9
a	287
aaway	1
abated	1
abiding	1
able	1
abound	1
abounded	1
about	34
above	16
abovesaid	3
abraham	1
abroad	1
absence	2
absent	1
absenting	6
abuses	1
acceptance	1
accomplish	1
accomplishing	1
accompt	1
according	6
accordingly	4
account	13
accounted	5
accusation	1
accused	3
accusers	1
acknowledge	1
act	5
acted	2
action	1
actions	7
active	1
actors	1
adam	1
adhered	1
adjudged	1
adversaries	1
advice	1
affirmed	1
afflict	1
affliction	1
affrighted	1
aforesaid	34
after	11
afternoon	2
again	50
against	13
age	3
aged	3
agents	1
ages	2
agreeable	1
alive	1
alking	1
all	55
allice	1
allow	1
allowed	1
allows	3
almanack	1
along	1
also	12
altered	3
although	7
altogether	1
alwayes	1
am	1
amazement	1
among	1
amongst	6
an	23
and	722
anger	1
anne	10
another	7
answer	2
answered	1
any	19
apiece	1
apostle	1
apparent	2
appealed	2
appear	3
appearance	1
appeared	1
appears	4
approved	1
are	30
argument	1
arises	1
as	77
asham	1
ashly	5
ask	2
asked	7
asking	1
assembly	1
assize	2
at	110
attested	1
attire	1
authority	2
away	41
bacon	1
bad	4
baked	1
ballance	1
banes	1
barbarity	1
bare	1
barwick	1
bately	7
be	49
beast	1
beasts	1
beat	1
because	12
bed	18
bed-blanket	1
bed-board	1
bed-cord	2
bedding	2
bedingfield	6
beds	2
bedstead	5
bedsteads	2
bee	6
beef	40
been	30
before	19
began	1
beginning	1
behaviour	3
beholds	1
being	64
believe	9
belonging	1
benjamin	1
besides	4
best	2
beston	2
better	2
between	2
bewitch	1
beyond	1
bible	1
bid	2
big	1
bills	1
bintree	1
black	1
blame	2
blanket	4
blankets	1
bloody	1
bloome	1
blush	1
