	55
a	213
ab	1
abate	1
abhominationem	1
abode	1
aboue	4
aboute	14
abyde	6
abydynge	2
accomptes	1
accordeth	4
acompas	1
acompte	2
acomptes	1
actibus	1
actus	1
ad	7
adam	2
adders	1
adnersa	1
ado	1
adoca	1
aduauntage	1
aduena	1
affudūt	1
afray	1
after	34
afterwarde	13
agast	1
agayne	9
agaynst	9
age	3
ageret	1
agit	1
agryse	1
al	2
aliud	2
all	174
almyght	1
almyghty	6
almyghtye	3
almysdede	1
alno	1
alone	3
also	41
alther	1
alyae	1
alyue	3
am	4
amara	1
amen	2
amende	4
amendes	1
amici	1
amicus	1
amonge	6
amonges	1
amore	1
amplius	1
amysse	2
an	26
ancelme	1
and	936
anendynge	1
anger	6
angers	2
angres	1
angrye	1
angustias	1
anguyse	1
anguysshe	1
anguysshes	1
animaduersione	1
anni	2
annoye	1
annūciē	1
anone	7
another	7
answered	1
antequā	1
any	38
apocalyps	1
apostell	2
apparyle	1
apparynge	1
appere	3
appered	1
apperet	1
apprehend	1
apud	1
ar	1
aray	1
arbor	1
arbores	1
are	3
aredy	1
arkayes	1
armed	1
armes	3
art	1
arte	3
arth	1
artil	1
aryght	4
aryse	3
as	199
asayleth	1
aske	1
asked	2
asketh	1
asonder	1
assay	1
assayles	2
assayleth	4
asshes	2
asterum	1
at	38
atū	1
atwyn	1
atwyne	1
atwynne	1
auaunce	1
auauntage	1
auayle	1
auayleth	1
auayne	1
aungell	1
aungelles	4
aungels	1
austayne	1
austyne	8
aut	7
autem	2
away	17
awayteth	2
awe	1
ay	3
ayre	1
bale	1
baptyme	1
barayne	1
bare	4
barke	1
barred	1
bartholomewe	1
bartylmewe	1
battayles	2
battell	1
bawme	1
be	247
beareth	3
bearynge	1
become	5
becōmeth	1
bed	1
beest	5
beestes	5
befall	4
befalleth	2
before	22
began	1
beget	1
begnnynge	1
begon	1
begyle	2
begyled	1
begyles	1
begynne	4
begynneth	7
begynnyng	1
begynnynge	15
begyn̄eth	1
behelde	1
beholde	5
beholden	1
behoue	1
behoueth	5
behyght	1
beleue	1
belongeth	1
beloued	1
beloueth	1
ben	12
bene	4
bere	2
bereth	1
bernarde	17
bestes	1
besy	6
besyde	1
besye	1
besynes	1
betokeneth	1
better	2
betwene	1
betyde	1
betymes	1
beware	2
bewone	1
beynge	1
blacke	1
blame	1
blast	1
blere	1
blode	3
blodeles	1
blody	1
blowes	1
blynde	1
blyndeth	1
blysse	16
blyue	1
bodely	7
body	23
bodyes	3
boke	39
bokes	7
bonde	2
bone	7
boni	1
bonum	2
bore	2
borne	6
boste	2
both	54
bought	2
bounde	1
bowes	2
boxum	1
braunche	1
braunches	2
brayde	2
breade	1
breake	1
breath	2
brede	2
brek	1
breketh	2
brest	1
breth	1
breu	1
breui	1
brode	5
broke	1
brotelnes	1
brought	18
browe	1
browes	1
brute	1
bryght	12
brynge	13
bryngest	1
bryngeth	10
but	138
buxom	2
buxome	1
by	32
bycause	2
bycōmen	1
byddynge	1
byde	1
byhoue	1
byleue	1
byleued	1
byleueth	1
bylonye	1
byneth	1
bynome	1
byreueth	1
byrth	3
bysshop	2
bysyte	1
bytter	7
bytwene	4
c	9
cabit	1
cadaur	1
cadetis	1
calde	2
call	7
called	6
calles	1
calleth	8
came	3
can	39
captyuyte	1
caput	1
care	6
carkayes	1
carnis	1
caro	1
caryon	2
case	1
cast	9
casteth	1
caton	1
cattayle	1
cause	5
causes	2
cease	1
centum	1
ceorū	1
certayne	8
certes	1
certius	1
ceteri	1
ceteros	1
charynge	1
charyte	1
chaunce	1
chaunge	1
chaungeable	3
chaunged	1
chaungeth	6
chaungynge	1
cheae	1
chere	3
cheseth	1
christo	1
chryst	1
chryste	3
chrysten	2
churche	2
chuse	1
chylde	2
chyne	1
cinerem	1
ciuitatem	1
ciusāte	1
clarcke	10
clarckes	17
clarke	1
clay	4
clene	11
clennes	1
clense	1
clensed	2
clere	3
cleseth	1
cloth	2
clothes	2
clothynge	2
clynge	1
cogitare	1
colde	5
collo	1
coloure	1
come	36
comely	1
comforte	1
company	1
comparatus	1
complexyon	3
concepit	1
conceptus	1
conceyue	1
conceyued	4
concupiscentia	2
condycyon	2
condycyones	1
condycyons	4
conideres	1
conprobatur	1
conquares	1
conscyence	3
conseyence	2
consiliū	1
contempet	1
contempnere	1
conteyneth	1
continu	1
contrary	1
contraryous	2
contritur	1
contryte	1
contynuall	3
contynually	2
conuertatur	1
cordis	1
corporis	1
corrumus	1
corrupcyon	6
corrupte	1
corum	1
costage	1
couerte	1
couet	1
coueyted	1
cought	1
coulde	3
couldest	1
counceyleth	1
counceyll	3
counceyllall	1
counted	1
countre	2
couytous	4
couytyse	1
coūtre	1
cōdycion	1
cōmande	1
cōmaundementes	1
cōmaundeth	1
cōmaūdementes	1
cōmeth	18
cōmon	1
cōmunem	1
cōmynge	11
cōnynge	1
cōstitultur	1
craue	3
creatoris	1
creature	3
creatures	5
crediderunt	2
credunt	1
crepe	3
crescimus	1
crines	1
croked	1
crop	2
crosse	1
crowne	2
crunt	1
crye	2
cryeth	3
cuius	1
cum	7
cunctis	1
curtesye	2
cū	2
cytte	1
dale	3
dame	2
dampnacio	1
dampnacionis	1
dampnacyon	4
dampnacyown	1
dampne	1
darcke	4
darckenes	4
darcknes	1
dare	1
darke	1
dath	1
dauid	12
day	45
dayes	7
de	10
deade	11
deat	1
death	124
deathes	11
deathwarde	1
debate	2
debemunt	1
debet	1
deceyuable	1
dede	8
dedes	10
deed	1
deedly	4
