	52
1	17
10	4
11	6
12	3
120	1
13	3
14	2
15	3
16	2
17	4
18	3
19	2
2	10
20	3
21	2
22	4
23	1
24	2
26	3
3	11
4	4
5	8
6	3
7	2
8	2
80	1
9	2
a	88
aarō	1
abhorre	7
abigael	1
abihu	1
abiu	1
able	4
abolyshe	3
abolyshyng	1
abominable	1
abomynable	1
abomynacyon	1
aboue	1
aboundant	1
about	5
aboute	5
abraham	3
abroade	1
abrode	1
abrogate	1
abstayne	3
accepted	1
according	1
accordyng	1
accordynge	2
accor¦ding	1
accursed	2
accustomable	1
actes	2
action	2
ac¦cordyng	1
ad	4
adde	3
added	1
addicted	1
administracion	1
admonyshed	1
adoe	1
aduersary	1
ad¦deth	1
affictiō	1
affirme	1
affirmeth	1
afflyctions	1
affraied	1
affrayde	1
affrayed	1
affrica	1
afore	3
after	13
afterwardes	9
afterwards	2
af¦ter	2
again	1
againe	1
against	3
againste	1
agaīst	1
agayne	9
agaynst	11
age	5
aggregat	1
ago	1
agreable	1
agree	5
al	29
aleage	1
all	54
alleage	1
alleged	1
almightye	1
almost	1
alone	2
alowed	1
already	1
alredye	1
also	28
alter	9
alteracion	1
altera¦cion	1
altere	1
altered	5
alte¦racion	1
althogh	1
although	4
altogether	2
alto¦gether	1
alwaies	2
alwais	2
alwayes	8
always	1
al¦wayes	1
am	7
ambro	1
ambrose	2
amen	1
amisse	1
among	4
amonge	1
amōg	2
amplexe	1
amysse	3
an	24
anabaptistes	1
and	409
anne	1
annexed	2
annoint	2
annoynt	1
annoynte	1
annoynted	3
annoynteth	2
anoynte	1
anoynting	1
ans	17
answer	5
answere	7
answered	1
antichristian	1
antiquite	2
antiquitie	1
any	32
anye	1
anythyng	1
aphrike	1
apishe	1
apostel	1
apostels	1
apostle	2
apostles	19
apostls	1
apostolical	1
apparell	1
appeall	1
appeareth	2
appertain	1
appertaine	2
appertaineth	1
appertayne	2
apperteine	1
apperteīe	1
apper¦tayne	1
applyed	2
appointed	2
