	13
0	128
00	16
000	6
00000	2
0000000	1
0001515	1
001924	1
002	1
006	1
007	3
01	2
014	1
016	1
019	1
02	3
020	1
021	2
026	1
028	4
03	5
030	2
03125	2
035	1
038	1
04	1
042	1
043	2
044	1
049	1
05	3
055	1
056	2
06	6
062	4
0625	1
063	1
066	1
069	1
070	1
075	2
078	3
079	1
07918	1
08	10
083	4
084	1
085	2
09	2
093	2
1	149
10	144
100	108
1000	31
10000	15
100000	6
1000000	1
101	2
102	1
10205999	1
103	1
104	3
105	4
106	3
107	1
108	3
10890	1
109	1
10d	1
10s	1
10th	1
11	26
110	5
111	4
1111	1
112	1
113	3
11396	1
114	1
115	2
117	3
118	1
119	3
11998	1
12	130
120	15
1200	3
121	1
1210	1
122	2
124	4
125	3
1250	2
126	1
127	3
128	2
1280	1
1296	4
12d	2
13	27
130	8
131	1
132	2
133	1
134	2
135	2
1350	1
1355	1
136	2
1364	1
137	2
138	1
139	2
13s	3
14	28
140	9
1408	1
141	2
1416	1
1429	1
143	1
144	21
1442	3
145	1
1450	1
14500	1
146	2
147	3
148	1
149	1
15	36
150	2
1500	1
15000	1
151	2
152	3
154	1
156	2
1560	4
158	1
159	3
15½	1
16	59
160	23
161	1
164	1
166	6
1664	1
1666	1
1667	1
1669	1
167	5
1672	2
1674	1
1675	2
1676	1
1680	1
169	1
17	22
170	2
171	1
172	1
1728	17
1729	1
174	3
175	1
176	2
1760	1
178	4
179	3
17s	1
18	25
181	2
182	1
183	2
184	1
185	1
186	1
187	1
1875	2
188	2
19	24
191	1
192	4
193	2
194	1
196	6
198	4
199	2
19th	1
2	216
20	53
200	9
2000	2
20000	1
203	1
204	3
20423	1
205	1
206	1
208	7
20s	2
21	22
210	3
211	1
213	1
216	3
217	2
22	51
220	4
221	1
222	1
225	2
225504	1
227	1
228	1
22th	1
23	18
230	1
232	1
237	1
238	1
24	36
240	1
243	1
244	1
24919	2
25	33
250	9
2500	3
256	1
257	1
26	16
260	2
261	1
262	1
263	2
264	1
266	1
267	1
269	4
26th	1
27	14
270	4
272	10
273	1
276	2
278	2
279	1
27th	1
28	13
280	6
285	12
286	1
288	2
28th	1
29	13
290	1
292	1
293	2
294	1
296	1
2d	3
2s	2
3	126
30	50
300	5
3000	1
30000	1
301	1
303	1
307	2
308	1
31	12
310	2
312	2
318	1
32	18
320	5
